FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
IBM,2016-01-18,"[-60, -30)",the Event Date does not exist in its price file
IBM,2016-01-18,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
CFG,2011-08-03,"[-60, -30)",the Event Date does not exist in its price file
CFG,2011-08-03,"[-2, 3)",the Event Date does not exist in its price file
DHR,2017-06-14,"[-60, -30)",the Event Date does not exist in its price file
DHR,2017-06-14,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
